new_name,variable_name,description
country_economy_three_letter_code,CNTRY,Country/economy three-letter code.
numeric_country_economy_code,IDCNTRY,Numeric country/economy code.
country_economy_plus_target_population_identifier,IDCNTPOP,Country/economy plus target-population identifier.
school_identifier,IDSCHOOL,School identifier.
teacher_identifier,IDTEACH,Teacher identifier.
teacher_questionnaire_version_type_identifier,IDTQUEST,Teacher questionnaire version/type identifier.
teacher_questionnaire_language_identifier,IDLANG_TQ,Teacher questionnaire language identifier.
teacher_questionnaire_administration_mode,ITMODE_TQ,Teacher questionnaire administration mode.
gender,TT4G01,Gender.
type_of_education_completed_for_first_teaching_qualification,TT4G04,Type of education completed for first teaching qualification.
agreement_with_statements_about_the_first_teaching_qualifica_a,TT4G06A,Agreement with statements about the first teaching qualification. Item A.
agreement_with_statements_about_the_first_teaching_qualifica_b,TT4G06B,Agreement with statements about the first teaching qualification. Item B.
agreement_with_statements_about_the_first_teaching_qualifica_c,TT4G06C,Agreement with statements about the first teaching qualification. Item C.
agreement_with_statements_about_the_first_teaching_qualifica_d,TT4G06D,Agreement with statements about the first teaching qualification. Item D.
agreement_with_statements_about_the_first_teaching_qualifica_e,TT4G06E,Agreement with statements about the first teaching qualification. Item E.
agreement_with_statements_about_the_first_teaching_qualifica_f,TT4G06F,Agreement with statements about the first teaching qualification. Item F.
extent_to_which_formal_education_training_prepared_the_teach_a,TT4G07A,Extent to which formal education/training prepared the teacher for teaching aspects. Item A.
extent_to_which_formal_education_training_prepared_the_teach_b,TT4G07B,Extent to which formal education/training prepared the teacher for teaching aspects. Item B.
extent_to_which_formal_education_training_prepared_the_teach_c,TT4G07C,Extent to which formal education/training prepared the teacher for teaching aspects. Item C.
extent_to_which_formal_education_training_prepared_the_teach_d,TT4G07D,Extent to which formal education/training prepared the teacher for teaching aspects. Item D.
extent_to_which_formal_education_training_prepared_the_teach_e,TT4G07E,Extent to which formal education/training prepared the teacher for teaching aspects. Item E.
extent_to_which_formal_education_training_prepared_the_teach_f,TT4G07F,Extent to which formal education/training prepared the teacher for teaching aspects. Item F.
extent_to_which_formal_education_training_prepared_the_teach_g,TT4G07G,Extent to which formal education/training prepared the teacher for teaching aspects. Item G.
extent_to_which_formal_education_training_prepared_the_teach_i,TT4G07I,Extent to which formal education/training prepared the teacher for teaching aspects. Item I.
extent_to_which_formal_education_training_prepared_the_teach_j,TT4G07J,Extent to which formal education/training prepared the teacher for teaching aspects. Item J.
whether_teaching_was_the_teacher_s_first_career_choice,TT4G08,Whether teaching was the teacher's first career choice.
employment_status_as_a_teacher_at_this_school,TT4G09,Employment status as a teacher at this school.
whether_the_teacher_works_as_an_isced_level_x_teacher_at_ano,TT4G10,Whether the teacher works as an ISCED level x teacher at another school.
total_job_related_working_hours_in_the_most_recent_complete,TT4G14,Total job-related working hours in the most recent complete calendar week.
teaching_hours_at_this_school_in_the_most_recent_complete_ca,TT4G15,Teaching hours at this school in the most recent complete calendar week.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_a,TT4G16A,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item A.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_b,TT4G16B,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item B.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_c,TT4G16C,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item C.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_d,TT4G16D,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item D.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_e,TT4G16E,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item E.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_f,TT4G16F,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item F.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_g,TT4G16G,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item G.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_h,TT4G16H,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item H.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_i,TT4G16I,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item I.
hours_spent_on_non_teaching_work_tasks_in_the_most_recent_co_j,TT4G16J,Hours spent on non-teaching work tasks in the most recent complete calendar week. Item J.
whether_the_teacher_took_part_in_formal_or_informal_inductio_a,TT4G17A,Whether the teacher took part in formal or informal induction activities at this school. Item A.
whether_the_teacher_took_part_in_formal_or_informal_inductio_b,TT4G17B,Whether the teacher took part in formal or informal induction activities at this school. Item B.
provisions_included_in_induction_at_this_school_a,TT4G18A,Provisions included in induction at this school. Item A.
provisions_included_in_induction_at_this_school_b,TT4G18B,Provisions included in induction at this school. Item B.
provisions_included_in_induction_at_this_school_c,TT4G18C,Provisions included in induction at this school. Item C.
